word,length,first_letter,last_letter,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
footpace,8,f,e,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0
irenicism,9,i,m,0,0,1,0,1,0,0,0,3,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
counterproposals,16,c,s,1,0,1,0,1,0,0,0,0,0,0,1,0,1,3,2,0,2,2,1,1,0,0,0,0,0
salpingectomies,15,s,s,1,0,1,0,2,0,1,0,2,0,0,1,1,1,1,1,0,0,2,1,0,0,0,0,0,0
serena,6,s,a,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
catholicon,10,c,n,1,0,2,0,0,0,0,1,1,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0
scissile,8,s,e,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
photoconduction,15,p,n,0,0,2,1,0,0,0,1,1,0,0,0,0,2,4,1,0,0,0,2,1,0,0,0,0,0
aerotherapeutics,16,a,s,2,0,1,0,3,0,0,1,1,0,0,0,0,0,1,1,0,2,1,2,1,0,0,0,0,0
antecedency,11,a,y,1,0,2,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0
foreside,8,f,e,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
grapheme,8,g,e,1,0,0,0,2,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
radiographs,11,r,s,2,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0
cavicorn,8,c,n,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
recuperator,11,r,r,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,1,0,0,0,0,0
embayment,9,e,t,1,1,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0
factitive,9,f,e,1,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
sciolist,8,s,t,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0
oasts,5,o,s,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0
costate,7,c,e,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0
tactilely,9,t,y,1,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0
techiest,8,t,t,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
glycoside,9,g,e,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
disaffirm,9,d,m,1,0,0,1,0,2,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
interatomic,11,i,c,1,0,1,0,1,0,0,0,2,0,0,0,1,1,1,0,0,1,0,2,0,0,0,0,0,0
cyclosis,8,c,s,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0
entozoa,7,e,a,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1
thanatopsis,11,t,s,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,0
adiabatically,13,a,y,4,1,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0
hawkishly,9,h,y,1,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
ophthalmoscopes,15,o,s,1,0,1,0,1,0,0,2,0,0,0,1,1,0,3,2,0,0,2,1,0,0,0,0,0,0
spirographs,11,s,s,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,0,2,2,0,0,0,0,0,0,0
capitula,8,c,a,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
minimality,10,m,y,1,0,0,0,0,0,0,0,3,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0
involucre,9,i,e,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0
noctambulism,12,n,m,1,1,1,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,1,1,1,0,0,0,0,0
thremmatology,13,t,y,1,0,0,0,1,0,1,1,0,0,0,1,2,0,2,0,0,1,0,2,0,0,0,0,1,0
hyponasty,9,h,y,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,2,0
blacklegged,11,b,d,1,1,1,1,2,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tahr,4,t,r,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
glyceryl,8,g,l,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0
untunes,7,u,s,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0,0,0,0
framings,8,f,s,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
magmata,7,m,a,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
anurans,7,a,s,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0
astrict,7,a,t,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
prognosticatory,15,p,y,1,0,1,0,0,0,1,0,1,0,0,0,0,1,3,1,0,2,1,2,0,0,0,0,1,0
histiocytes,11,h,s,0,0,1,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,1,0
overspecific,12,o,c,0,0,2,0,2,1,0,0,2,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0
cirrose,7,c,e,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0
unbraids,8,u,s,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
ribonucleic,11,r,c,0,1,2,0,1,0,0,0,2,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
primatology,11,p,y,1,0,0,0,0,0,1,0,1,0,0,1,1,0,2,1,0,1,0,1,0,0,0,0,1,0
longanimity,11,l,y,1,0,0,0,0,0,1,0,2,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,1,0
cordierite,10,c,e,0,0,1,1,2,0,0,0,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0
balsamiferous,13,b,s,2,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,2,0,1,0,0,0,0,0
decretal,8,d,l,1,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
deviationist,12,d,t,1,0,0,1,1,0,0,0,3,0,0,0,0,1,1,0,0,0,1,2,0,1,0,0,0,0
graziers,8,g,s,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1
junketings,10,j,s,0,0,0,0,1,0,1,0,1,1,1,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0
pitchy,6,p,y,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
whickering,10,w,g,0,0,1,0,1,0,1,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
sportiveness,12,s,s,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,1,0,1,3,1,0,1,0,0,0,0
proprioceptive,14,p,e,0,0,1,0,2,0,0,0,2,0,0,0,0,0,2,3,0,2,0,1,0,1,0,0,0,0
headrace,8,h,e,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
feudalist,9,f,t,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
inseverable,11,i,e,1,1,0,0,3,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
octonaries,10,o,s,1,0,1,0,1,0,0,0,1,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0
glossal,7,g,l,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0
persistency,11,p,y,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,1,0,1,2,1,0,0,0,0,1,0
kirtles,7,k,s,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
nasion,6,n,n,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0
momism,6,m,m,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0
erosiveness,11,e,s,0,0,0,0,3,0,0,0,1,0,0,0,0,1,1,0,0,1,3,0,0,1,0,0,0,0
wheatears,9,w,s,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
refractometer,13,r,r,1,0,1,0,3,1,0,0,0,0,0,0,1,0,1,0,0,3,0,2,0,0,0,0,0,0
rhombohedrons,13,r,s,0,1,0,1,1,0,0,2,0,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0
supercolumnar,13,s,r,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,2,1,0,2,0,0,0,0,0
pantiles,8,p,s,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
undisposed,10,u,d,0,0,0,2,1,0,0,0,1,0,0,0,0,1,1,1,0,0,2,0,1,0,0,0,0,0
taverner,8,t,r,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0
ancilla,7,a,a,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
elegancy,8,e,y,1,0,1,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
granulocyte,11,g,e,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0
resurrectionist,15,r,t,0,0,1,0,2,0,0,0,2,0,0,0,0,1,1,0,0,3,2,2,1,0,0,0,0,0
hydranth,8,h,h,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
sniggeringly,12,s,y,0,0,0,0,1,0,3,0,2,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,1,0
westernism,10,w,m,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,1,2,1,0,0,1,0,0,0
loggy,5,l,y,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
hokku,5,h,u,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
emmer,5,e,r,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
uncaged,7,u,d,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
mandolas,8,m,s,2,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
emplane,7,e,e,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
charmeuse,9,c,e,1,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
sporocarp,9,s,p,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,0,0,0,0,0,0
grails,6,g,s,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
spermatozoid,12,s,d,1,0,0,1,1,0,0,0,1,0,0,0,1,0,2,1,0,1,1,1,0,0,0,0,0,1
spermatium,10,s,m,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,1,1,1,1,0,0,0,0,0
sublittoral,11,s,l,1,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,1,2,1,0,0,0,0,0
delegacy,8,d,y,1,0,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
marshalships,12,m,s,2,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,0,1,3,0,0,0,0,0,0,0
phosgene,8,p,e,0,0,0,0,2,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
maduro,6,m,o,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
brusquerie,10,b,e,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0
stepdame,8,s,e,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
centroclinal,12,c,l,1,0,2,0,1,0,0,0,1,0,0,2,0,2,1,0,0,1,0,1,0,0,0,0,0,0
overshine,9,o,e,0,0,0,0,2,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0
acyclic,7,a,c,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
solitudes,9,s,s,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,1,0,0,0,0,0
miscomprehended,15,m,d,0,0,1,2,3,0,0,1,1,0,0,0,2,1,1,1,0,1,1,0,0,0,0,0,0,0
hereditarily,12,h,y,1,0,0,1,2,0,0,1,2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0
embowel,7,e,l,0,1,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
dimorphic,9,d,c,0,0,1,1,0,0,0,1,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
nondiscriminating,17,n,g,1,0,1,1,0,0,1,0,4,0,0,0,1,4,1,0,0,1,1,1,0,0,0,0,0,0
introject,9,i,t,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0
nimbostratus,12,n,s,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,2,2,1,0,0,0,0,0
gropingly,9,g,y,0,0,0,0,0,0,2,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0
dustily,7,d,y,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
prelatism,9,p,m,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0
gastrologically,15,g,y,2,0,1,0,0,0,2,0,1,0,0,3,0,0,2,0,0,1,1,1,0,0,0,0,1,0
trapezius,9,t,s,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
stercoraceous,13,s,s,1,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,1,0,0,0,0,0
bibulously,10,b,y,0,2,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,2,0,0,0,1,0
oneirocritic,12,o,c,0,0,2,0,1,0,0,0,3,0,0,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0
patulousness,12,p,s,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,3,1,2,0,0,0,0,0
congener,8,c,r,0,0,1,0,2,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
deictics,8,d,s,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
serin,5,s,n,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
ketene,6,k,e,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
inchoateness,12,i,s,1,0,1,0,2,0,0,1,1,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0
transarctic,11,t,c,2,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,2,0,0,0,0,0,0
colchicum,9,c,m,0,0,3,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
aglet,5,a,t,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
contrapuntists,14,c,s,1,0,1,0,0,0,0,0,1,0,0,0,0,2,1,1,0,1,2,3,1,0,0,0,0,0
scissures,9,s,s,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0
ousel,5,o,l,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
nonjoinder,10,n,r,0,0,0,1,1,0,0,0,1,1,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0
scriber,7,s,r,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
recountal,9,r,l,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
shamanist,9,s,t,2,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0
unassailed,10,u,d,2,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0
explanatorily,13,e,y,2,0,0,0,1,0,0,0,1,0,0,2,0,1,1,1,0,1,0,1,0,0,0,1,1,0
dynamicist,10,d,t,1,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
hearthside,10,h,e,1,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
refractional,12,r,l,2,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0
oppugning,9,o,g,0,0,0,0,0,0,2,0,1,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0
arboriculture,13,a,e,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,0,1,2,0,0,0,0,0
primus,6,p,s,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
spaetzle,8,s,e,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
unwontedly,10,u,y,0,0,0,1,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,1,0,1,0,1,0
pellicle,8,p,e,0,0,1,0,2,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
geopolitically,14,g,y,1,0,1,0,1,0,1,0,2,0,0,3,0,0,2,1,0,0,0,1,0,0,0,0,1,0
synclastic,10,s,c,1,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,1,0
careener,8,c,r,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
bleakish,8,b,h,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
rebater,7,r,r,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
convolved,9,c,d,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0
forworn,7,f,n,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0
toroidal,8,t,l,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0
diminutively,12,d,y,0,0,0,1,1,0,0,0,3,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0
chemotherapist,14,c,t,1,0,1,0,2,0,0,2,1,0,0,0,1,0,1,1,0,1,1,2,0,0,0,0,0,0
unkennel,8,u,l,0,0,0,0,2,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0
orthicons,9,o,s,0,0,1,0,0,0,0,1,1,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0
assuasive,9,a,e,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0
statism,7,s,m,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0
hexamerous,10,h,s,1,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0
phenotypical,12,p,l,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,2,0,0,0,1,0,0,0,0,1,0
mandarinism,11,m,m,2,0,0,1,0,0,0,0,2,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0
additively,10,a,y,1,0,0,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
tass,4,t,s,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
methacrylate,12,m,e,2,0,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,1,0
skat,4,s,t,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
hypodermises,12,h,s,0,0,0,1,2,0,0,1,1,0,0,0,1,0,1,1,0,1,2,0,0,0,0,0,1,0
